3,1,0.4443,0.4031,0.0569,0.0025,0.0654,0.0002,0.0275,0.1029,4019
1,1,0.389,0.3936,0.0613,0.0035,0.1059,0.0004,0.0462,0.0682,58944
6,1,0.4261,0.3859,0.0621,0.0032,0.0909,0.0009,0.0309,0.0948,15607
4,1,0.5179,0.3715,0.0489,0.0032,0.0401,0.0,0.0184,0.1511,1089
2,1,0.5785,0.3769,0.0299,0.001,0.0137,0.0,0.0,0.2123,403
5,1,0.7962,0.1886,0.0152,0.0,0.0,0.0,0.0,0.2841,50
3,2,0.2336,0.6571,0.025,0.0,0.0143,0.0,0.07,0.0,32
5,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
7,3,0.2202,0.2262,0.0833,0.0,0.2321,0.0,0.2381,0.0,26
6,4,0.3915,0.4128,0.0561,0.0041,0.1031,0.0006,0.0318,0.0801,2945
2,4,0.6968,0.2754,0.0119,0.0,0.0079,0.0,0.0079,0.2619,53
4,4,0.5063,0.328,0.0544,0.0,0.089,0.0,0.0222,0.052,109
3,5,0.4731,0.3794,0.0433,0.0062,0.0744,0.0,0.0236,0.1018,2782
6,5,0.4347,0.381,0.058,0.0043,0.0934,0.0004,0.0283,0.0808,11743
4,5,0.4981,0.4005,0.0371,0.0032,0.0447,0.0,0.0163,0.1122,680
7,5,0.4133,0.3322,0.07,0.0021,0.1135,0.001,0.0678,0.1345,1595
5,5,0.7615,0.2128,0.0256,0.0,0.0,0.0,0.0,0.1564,44
2,3,0.49458,0.4642,0.01866,0.00208,0.01786,0,0.00258,0.1689,164
2,2,0.49458,0.4642,0.01866,0.00208,0.01786,0,0.00258,0.1689,164
4,6,0.4228,0.4503,0.0506,0.0,0.0548,0.0,0.0215,0.0973,161
7,6,0.4203,0.3594,0.0483,0.0,0.1121,0.0008,0.0591,0.1422,369
3,3,0.61,0.39,0.0,0.0,0.0,0.0,0.0,0.2,12
6,2,0.2355,0.6664,0.04,0.0,0.0276,0.0,0.0306,0.0333,111
7,2,0.2222,0.1667,0.1111,0.0,0.2222,0.0,0.2778,0.1667,10
6,3,0.2137,0.5223,0.0615,0.0,0.1365,0.0,0.0661,0.0,167
1,4,0.3501,0.4375,0.0541,0.0022,0.1083,0.0003,0.0475,0.0523,11319
3,4,0.4689,0.3895,0.0435,0.0035,0.0615,0.0,0.0331,0.0607,574
1,7,0.3372,0.4242,0.0668,0.0024,0.1127,0.0004,0.0563,0.0464,2076
2,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4,7,0.5,0.3667,0.0167,0.0,0.1167,0.0,0.0,0.1,21
5,3,0.8686,0.121175,0.0102,0,0,0,0,0.38095,26
5,4,0.8686,0.121175,0.0102,0,0,0,0,0.38095,26
5,7,0.8686,0.121175,0.0102,0,0,0,0,0.38095,26
1,5,0.3906,0.3901,0.0609,0.0034,0.1096,0.0004,0.0451,0.0627,45347
2,5,0.608,0.3273,0.0308,0.0025,0.0263,0.0,0.005,0.1573,281
1,6,0.36,0.4147,0.0555,0.0044,0.1068,0.0004,0.0581,0.0744,9807
6,6,0.407,0.4152,0.0545,0.0034,0.086,0.0,0.0339,0.1042,2494
5,6,0.9167,0.0833,0.0,0.0,0.0,0.0,0.0,0.0833,9
4,2,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,4
4,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,1,0.3943,0.3311,0.0613,0.0003,0.1381,0.0,0.0749,0.1049,1956
1,2,0.2523,0.5077,0.064,0.0029,0.1214,0.0,0.0517,0.0396,445
1,3,0.246,0.4318,0.0733,0.0052,0.1611,0.0,0.0825,0.0116,678
7,4,0.3795,0.3708,0.0452,0.0008,0.1186,0.0,0.0852,0.061,374
6,7,0.4147,0.3913,0.0678,0.0,0.1025,0.0,0.0236,0.0705,488
3,7,0.4012,0.4236,0.0556,0.0,0.0739,0.0,0.0458,0.0564,95
7,7,0.1613,0.5149,0.0,0.0,0.2613,0.0,0.0625,0.0125,41
3,6,0.4341,0.4209,0.057,0.0026,0.0646,0.0,0.0208,0.1227,663
2,6,0.5896,0.3414,0.0207,0.0069,0.0414,0.0,0.0,0.213,83
