GC Smith,0.0,0.0
GC Viljoen,9.65,19.7
GD McGrath,6.61,27.0
GH Vihari,5.11,12.0
GJ Bailey,0.0,0.0
GJ Maxwell,9.175714285714287,21.342857142857145
GR Napier,6.75,24.0
GS Sandhu,10.25,48.0
Gagandeep Singh,10.07,28.0
Gurkeerat Singh,2.513333333333333,5.0
H Das,0.0,0.0
H Klaasen,0.0,0.0
HF Gurney,8.81,23.1
HH Gibbs,0.0,0.0
HH Pandya,9.162,38.739999999999995
HM Amla,0.0,0.0
HV Patel,9.492857142857142,27.171428571428574
Harbhajan Singh,7.165833333333334,24.708333333333332
Harmeet Singh,7.990000000000001,22.383333333333336
Harpreet Brar,9.6,0.0
Harpreet Singh,0.0,0.0
I Malhotra,23.0,0.0
I Sharma,8.699000000000002,28.590000000000003
IC Pandey,9.086666666666668,27.633333333333336
IK Pathan,8.388888888888888,21.522222222222222
IR Jaggi,0.0,0.0
IS Sodhi,7.6,19.15
Imran Tahir,8.215000000000002,16.366666666666667
Iqbal Abdulla,7.842222222222222,20.81111111111111
Ishan Kishan,0.0,0.0
J Arunkumar,0.0,0.0
J Botha,6.934,32.42
J Suchith,10.38,11.799999999999999
J Syed Mohammad,8.946666666666667,12.666666666666666
J Theron,8.68,24.0
J Yadav,6.407500000000001,28.5
JA Morkel,8.66888888888889,20.622222222222224
JC Archer,7.56,19.45
JC Buttler,0.0,0.0
JD Ryder,8.15,33.0
JD Unadkat,9.707999999999998,13.8
JDP Oram,8.66,18.65
JDS Neesham,10.11,54.0
JE Taylor,8.05,19.5
JEC Franklin,8.895,17.65
JH Kallis,7.927142857142859,31.24285714285714
JJ Bumrah,8.365714285714287,24.085714285714285
JJ Roy,0.0,0.0
JJ van der Wath,10.75,24.0
JL Denly,0.0,0.0
JM Bairstow,0.0,0.0
JM Kemp,7.36,14.6
JO Holder,9.326666666666666,39.0
JP Behrendorff,8.68,22.8
JP Duminy,7.895,32.2375
JP Faulkner,8.437142857142858,25.12857142857143
JPR Scantlebury-Searles,12.71,21.0
JR Hopes,9.175,25.7
JW Hastings,7.605,19.0
Jaskaran Singh,10.29,7.0
Joginder Sharma,10.067499999999999,15.875
K Goel,9.040000000000001,0.0
K Gowtham,8.05,70.9
K Khejroliya,9.535,31.25
K Rabada,8.315000000000001,16.25
K Santokie,11.25,16.0
K Upadhyay,8.925,0.0
KA Pollard,8.309000000000001,17.560000000000002
KAJ Roach,10.0,0.0
KB Arun Karthik,0.0,0.0
KC Cariappa,12.2025,17.125
KC Sangakkara,0.0,0.0
KD Karthik,0.0,0.0
KH Devdhar,0.0,0.0
KH Pandya,7.1850000000000005,24.525
KJ Abbott,11.06,48.0
KK Ahmed,10.445,5.5
KK Cooper,7.666666666666667,19.466666666666665
KK Nair,0.0,0.0
KL Rahul,0.0,0.0
KM Asif,12.5,12.0
KM Jadhav,0.0,0.0
KMA Paul,8.72,18.1
KMDN Kulasekara,7.6850000000000005,19.5
KP Appanna,7.743333333333333,31.666666666666668
KP Pietersen,4.612,7.9
KS Williamson,1.4,0.0
KV Sharma,7.5975,13.549999999999999
KW Richardson,8.62,21.833333333333332
Kamran Akmal,0.0,0.0
Kamran Khan,10.5,9.866666666666667
Karanveer Singh,9.705,47.45
